val,frac,true_rul,band,s_asym,s_q35,s_median,s_q25,s_blend_asym_q35,s_band_sens,s_grid_asymopt,s_shrink_0.0,s_shrink_0.1,s_shrink_0.2,s_shrink_0.3,s_shrink_0.5
Train1,0.25,57000.0,midlow,0.6645853251817186,0.6578312610082663,0.736059724101386,0.5497479045946868,0.6611996691710295,0.5497479045946868,0.40662036757059494,0.6645853251817186,0.6483015223502971,0.6324167085193929,0.616921107580551,0.5870596317569163
Train1,0.5,37800.0,midlow,0.7348672349694284,0.7561924743815185,0.9890579681360733,0.703227547859181,0.7454536020125174,0.7561924743815185,0.7348672573231932,0.7348672349694284,0.7364860678048049,0.7381084667533842,0.7397344396709268,0.7429971389225104
Train1,0.75,19200.0,midhigh,0.15863136493752697,0.7273012696864776,0.19699760563848578,0.41143886953849124,0.592995774024345,0.41143886953849124,0.31046445331629086,0.15863136493752697,0.2355430160828592,0.34974490982448325,0.5193170401838861,0.9472879964204787
Train1,0.9,7800.0,high,6.790354106211113e-05,0.508062160148048,0.8988509731955419,0.42609019821428734,0.019211007799963608,0.42609019821428734,0.42609019632470335,6.790354106211113e-05,0.00020990897107817316,0.0006488877523897345,0.0020058948078240783,0.019168375507672496
Train2,0.25,51600.0,midlow,0.461282009011886,0.47870517332224943,0.6846736387551227,0.461282008954731,0.4699128473179578,0.461282008954731,0.4278549840687201,0.461282009011886,0.47029174276305047,0.47947745411724507,0.4888425802589221,0.5081251626282556
Train2,0.5,34200.0,midlow,0.8854982886936553,0.3655765950024815,0.1767766952966369,0.9700562765266754,0.7038895764130424,0.8854982886936553,0.8434567353905155,0.8854982886936553,0.8812015135040498,0.8769255879053084,0.8726704107272694,0.8642218994048528
Train2,0.75,17400.0,midhigh,0.5120947782406118,0.5282564361487286,0.5771013262929935,0.5060112548770525,0.5201128363381923,0.5282564361487286,0.5120947833959821,0.5120947782406118,0.5060112532016964,0.4999999985284858,0.49406015567174694,0.482391322086061
Train2,0.9,7200.0,high,0.07432544646118203,0.1343591674900871,0.04819408829399818,0.8052451659746271,0.0999315020894486,0.8052451659746271,0.654692283785573,0.07432544646118203,0.11243960947636208,0.1700987532688377,0.25732556345898366,0.5889067555273206
Train3,0.25,40200.0,midlow,0.8130931825513913,0.664549127442192,0.5104532512812513,0.9134533674528686,0.7350784753981863,0.664549127442192,0.7034585490838278,0.8130931825513913,0.9063932451613269,0.9958703437939694,0.9535253936646925,0.8741605249913793
Train3,0.5,27000.0,midlow,0.3401974978055886,0.2509645603986188,0.08838834764831845,0.3468111584303022,0.2921943111792041,0.3468111584303022,0.6803950076521964,0.3401974978055886,0.3646146504091423,0.39078430661754554,0.41883224968386246,0.4811119168645637
Train3,0.75,13800.0,midhigh,0.16394734160845495,0.028334344796524764,0.0022368002988443873,0.05099578221639184,0.06815673485142609,0.16394734160845495,0.21075272200461173,0.16394734160845495,0.23011626143974315,0.32299086560042983,0.45334953127001165,0.8931389560079251
Train3,0.9,5400.0,high,4.4852740157744804e-05,5.051913711353774e-07,1.1290666338182525e-09,3.360158677530352e-05,4.760169881366612e-06,4.4852740157744804e-05,6.592161845194427e-05,4.4852740157744804e-05,0.00013354649341740566,0.0003976271202464226,0.001183912229438268,0.010495581959105226
Train4,0.25,61800.0,midlow,0.624333310073819,0.6906465195372917,0.7691619089696438,0.6139174168637451,0.6566533542392666,0.6906465195372917,0.5384170921579329,0.624333310073819,0.6093896444784288,0.594803661450705,0.5805667997164145,0.5531072147139028
Train4,0.5,41400.0,midhigh,0.44769239408999223,0.6466309617144204,0.7178424425847253,0.5050481189243041,0.5380443878925261,0.44769239408999223,0.4755062562234637,0.44769239408999223,0.43309446089015313,0.41897252338852126,0.40531106076433315,0.37930999080492744
Train4,0.75,21000.0,high,0.5306065150957471,0.4126118449852533,0.5412194958693884,0.3298769776932236,0.46790440600068284,0.3298769776932236,0.45286182829710686,0.5306065150957471,0.5053091130120404,0.48121779968521455,0.4582750731597463,0.41561894941436894
Train4,0.9,8400.0,high,0.6095067958200596,0.6095068271022378,0.4204482076268574,0.8305522621561526,0.6095068114611484,0.8305522621561526,0.7807091758320811,0.6095067958200596,0.7679304460489772,0.9675317387980011,0.9238396085162274,0.7679304894033595
