candidate,robust_mean_score,worst_case_avg,worst_bearing_mean
28_eol_med,0.4358118480244959,0.25980976869769884,0.32990723364798774
28_eol_cons,0.43482952647540146,0.25956725796998276,0.33151705113911667
19_robust_asym,0.4293799604970765,0.017819838180309862,0.29407048244795425
19_robust_median,0.4162954269022325,0.05678481799612215,0.29407047978200407
17_asym,0.4010016216643888,0.027796268470823404,0.30109936308736707
17_hybrid,0.4004379605798623,0.018825598665071972,0.3464741850310004
5_HIBlend_combined,0.39902028491214575,0.18496838293237597,0.29897942458732824
16_safe,0.38938730275477257,0.1521143445098282,0.2629916261796073
5_HIBlend_full,0.38411295835960435,0.12710351542414194,0.30447693442782475
16_balanced,0.3755422299077639,0.13920327467259244,0.21755735870481643
16_aggressive,0.37467979757344877,0.14028860670563073,0.24506147202827955
