target,pseudo_stage,source,mmd,n_source,weight
Test1,mid,Train1,1.2045871983859773,42,0.2520889877260635
Test1,mid,Train2,1.2163565030325747,38,0.24964981002772776
Test1,mid,Train3,1.3070848946670874,29,0.23232093682353303
Test1,mid,Train4,1.141847223228822,45,0.2659402654226757
Test2,mid,Train1,1.3937360310564997,42,0.2463368390093658
Test2,mid,Train2,1.3822520140419663,38,0.24838345162062542
Test2,mid,Train3,1.4181981100463577,29,0.24208785085863846
Test2,mid,Train4,1.3044799842623767,45,0.2631918585113702
Test3,early,Train1,1.4117871746666852,43,0.24786905763774167
Test3,early,Train2,1.4077960377870369,39,0.24857177209920747
Test3,early,Train3,1.3863373981532152,31,0.25241932626615754
Test3,early,Train4,1.3934003769757202,47,0.2511398439968933
Test4,mid,Train1,1.4115220160331439,42,0.2461649921012582
Test4,mid,Train2,1.390997642374192,38,0.24979718995230396
Test4,mid,Train3,1.4202677739194756,29,0.24464915266259543
Test4,mid,Train4,1.3395623603045765,45,0.2593886652838424
Test5,eol,Train1,0.39800446781997767,10,0.4109665294879282
Test5,eol,Train2,0.6808379574349664,9,0.24024319413716774
Test5,eol,Train3,1.3274496187689673,7,0.12321884032031412
Test5,eol,Train4,0.7251215096940516,10,0.22557143605458993
Test6,eol,Train1,0.47875631478496206,10,0.44914547875316185
Test6,eol,Train2,1.0647095642002466,9,0.20196257141225063
Test6,eol,Train3,1.5352283269704758,7,0.14006486169724222
Test6,eol,Train4,1.0297106397765592,10,0.20882708813734538
