target,source,wasserstein,weight
Test1,Train1,0.3500535559467773,0.21340970089047215
Test1,Train2,0.2701183625725612,0.2765630622272812
Test1,Train3,0.20281495887690051,0.3683390522798609
Test1,Train4,0.5272485959320165,0.14168818460238564
Test2,Train1,0.32577749256908956,0.2308209048084279
Test2,Train2,0.27711911853273935,0.27134979163571316
Test2,Train3,0.21149562604804148,0.3555446147157074
Test2,Train4,0.5284921712252029,0.1422846888401516
Test3,Train1,0.34418972876538984,0.24727126108547026
Test3,Train2,0.3144181892404726,0.27068473702682544
Test3,Train3,0.2672430313484114,0.31846726426899086
Test3,Train4,0.5202959370505924,0.16357673761871339
Test4,Train1,0.3474777640162496,0.2703487060129262
Test4,Train2,0.36288537328829323,0.25887010682579015
Test4,Train3,0.3479085624964951,0.2700139471438368
Test4,Train4,0.4679061855079572,0.20076724001744675
Test5,Train1,0.58157782212798,0.2735064019374865
Test5,Train2,0.6593970712052598,0.24122838392978974
Test5,Train3,0.6564234676631138,0.24232114876756833
Test5,Train4,0.6547403736745653,0.24294406536515542
Test6,Train1,0.7794818276211789,0.2758350799851532
Test6,Train2,0.8915142007189636,0.24117222895419754
Test6,Train3,0.8528677206380113,0.2521005905142098
Test6,Train4,0.9312075930834885,0.23089210054643947
