id,title,year,method_group,source_url,local_file,status,experiment_action
cao2024_tcn_transformer,A remaining useful life prediction method for rolling bearing based on TCN-Transformer,2024,TCN-Transformer,https://ieeexplore.ieee.org/abstract/document/10758686/,research/papers/restricted/,restricted,covered_by_1_6_7_backbones
peng2023_local_transformer,Local enhancing Transformer with temporal convolutional attention mechanism for bearings RUL prediction,2023,Local-enhancing Transformer,https://ieeexplore.ieee.org/abstract/document/10177813/,research/papers/restricted/,restricted,candidate_attention_feature_gate
tang2024_parallel_tcn_transformer,RUL prediction of rolling bearings based on TCN and Transformer in parallel,2024,Parallel TCN Transformer,https://iopscience.iop.org/article/10.1088/1361-6501/ad73ee/meta,research/papers/restricted/,restricted,candidate_parallel_branch
jin2025_sensors_tcn_transformer,Remaining Useful Life Prediction for Rolling Bearings Based on TCN-Transformer Networks Using Vibration Signals,2025,TCN-Transformer,https://www.mdpi.com/1424-8220/25/11/3571,research/papers/public/Jin_2025_Sensors_TCN_Transformer_Vibration_RUL.pdf,downloaded,covered_by_1_6_7_backbones
cao2024_multidomain_tcn,RUL prediction of rolling bearing based on multi-domain mixed features and temporal convolutional networks,2024,Multi-domain features TCN,https://www.mdpi.com/2076-3417/14/6/2354,research/papers/public/Cao_2024_AppliedSciences_Multidomain_TCN_RUL.pdf,downloaded,covered_by_14_order_features
dtw_phase_space,DTW and phase-space warping bearing degradation tracking studies,2020-2024,Trajectory similarity,multiple,research/papers/restricted/,partially_restricted,covered_by_15_trajectory_knn
tian2023_mda_letcn,A novel method for multistage degradation predicting RUL based on domain adaptation,2023,MDA-LETCN,https://www.mdpi.com/2076-3417/13/22/12332,research/papers/public/Tian_2023_AppliedSciences_MDA_LETCN_DomainAdaptation_RUL.pdf,downloaded,new_17_conditional_mada
wen2021_domain_adaptation,Data-driven remaining useful life prediction based on domain adaptation,2021,BGRU-DANN,https://peerj.com/articles/cs-690/,research/papers/restricted/Wen_2021_PeerJ_DomainAdaptation_RUL.url,blocked_403,new_17_conditional_mada
liu2020_uda_dann,Unsupervised domain adaptation based RUL prediction of rolling element bearings,2020,UDA-DANN,https://pdfs.semanticscholar.org/88d3/0284ffcea288943c7b2500601ffc5310f1c4.pdf,research/papers/public/Liu_Gryllias_2020_UDA_DANN_Bearing_RUL.pdf,downloaded,new_17_conditional_mada
ding2022_multisource_da,Transfer learning for RUL prediction across operating conditions based on multisource domain adaptation,2022,Multi-source DA MMD CORAL,https://ieeexplore.ieee.org/abstract/document/9723508/,research/papers/restricted/,restricted,new_18_mmd_coral
cao2026_stage_da_transformer,Staged domain adaptation with Transformer for bearing RUL prediction,2026,Stage-aware DA Transformer,https://www.sciencedirect.com/science/article/pii/S0019057826001461,research/papers/restricted/,restricted,new_17_conditional_mada
lu2025_dynamic_hybrid_da,Dynamic hybrid DA with attention contrastive learning for cross-domain bearing RUL,2025,Dynamic hybrid DA,unknown,research/papers/restricted/,not_downloaded,new_20_uncertainty_adaptation
hu2022_wasserstein_da,Wasserstein distance-based weighted DA for bearing RUL under different working conditions,2022,Wasserstein DA,https://www.sciencedirect.com/science/article/pii/S0951832022001806,research/papers/restricted/,restricted,new_18_mmd_coral
miao2022_sparse_da,Sparse domain adaptation network for RUL prediction under different working conditions,2022,Sparse DA,https://www.sciencedirect.com/science/article/pii/S0951832021007353,research/papers/restricted/,restricted,new_19_domain_residual
zhang2025_jda_transformer,Joint domain-adaptive Transformer model for bearing RUL prediction across domains,2025,JDA Transformer,https://www.sciencedirect.com/science/article/pii/S0952197625016173,research/papers/restricted/,restricted,candidate_deep_da
liuw2025_vmd_bilstm_cbam,Bearing RUL prediction based on optimized VMD and BiLSTM-CBAM*,2025,VMD BiLSTM CBAM,https://doi.org/10.1371/journal.pone.0326399,research/papers/public/Liu_2025_PLOS_VMD_BiLSTM_CBAM_RUL.pdf,downloaded,candidate_vmd_denoising
